SourceIP,SrcPort,DstIP,DstPort,AppId,octetTotalCount,octetTotalCount_reverse,packetTotalCount_vpn,packetTotalCount_reverse_vpn,durationSeconds
27.107.93.2,60924,72.153.5.62,443,443,1805,3433,12,9,1.324
223.176.112.45,35217,54.192.151.84,443,443,3054,53909,42,45,1.592
117.235.236.212,35607,98.82.161.51,443,443,2295,6675,13,11,7.261
103.109.144.9,2286,4.175.223.124,443,443,7942,11288,20,16,2.592
14.194.211.58,36986,129.227.29.117,443,443,2209,3821,8,8,25.777
1.23.61.34,49875,148.113.20.105,443,443,25557,27577,478,478,4219.355
27.107.60.186,59282,35.223.238.178,443,443,2436,67505,32,54,1.695
182.69.183.159,3532,99.86.30.12,443,443,10701,1108580,147,873,1.022
27.59.137.120,7350,173.233.81.216,4433,443,1666,1230,14,13,61.185
203.78.214.170,9117,52.110.16.164,443,443,2704,10224,15,18,1.245
157.50.88.188,37628,18.155.33.85,443,443,3945,76313,47,66,0.96
27.59.185.36,4767,151.101.243.52,443,443,166449,12431405,3116,9180,62.786
223.188.250.35,45172,13.225.103.53,443,443,3527,8979,19,23,2.45
42.108.12.6,62295,34.124.234.158,443,443,1417,5303,9,10,30.548
2001:4490:488d:2558:4842:a36a:4763:3206,52930,2600:1901:0:8956::,443,443,3488,3801,22,27,30.04
2401:4900:b09:2c45:0:65:8c54:ec01,51194,2600:9000:256b:a600:19:1df6:3740:93a1,443,443,23052,691576,294,548,3.813
120.60.222.122,36720,35.186.224.22,443,443,681,9475,3,8,16.323
2405:201:c03e:2194:b86d:d238:3617:c18b,50362,2600:9000:2571:e00:19:1df6:3740:93a1,443,443,22652,1900812,280,1499,9.152
106.208.44.89,59650,129.227.29.161,443,443,1725,15087,17,16,0.434
43.224.108.175,49687,148.113.9.94,443,443,139349,146078,2916,2894,15680.958
2401:4900:4825:2df1:14c7:39ff:feb0:89e2,33980,2a04:4e42:5a::820,443,443,3788,12994,24,24,1.966
106.196.47.134,57620,129.227.29.209,443,443,2679,21499,19,25,7.005
106.200.175.188,13319,47.129.38.39,443,443,7234,1456,17,15,66.825
117.250.1.129,53392,34.36.209.50,443,443,5128,52,12,1,0.956
49.43.225.97,56382,13.32.251.57,443,443,3270,73911,45,57,0.273
157.32.140.113,44574,18.155.33.43,443,443,3029,35067,34,31,4.376
49.249.54.6,9955,54.78.210.97,443,443,990,2006,6,6,0.632
117.201.100.82,61547,52.166.186.239,8093,443,12062,4625,24,12,0.674
157.32.117.246,52898,54.230.27.26,443,443,1792,8920,12,11,0.511
2409:40c2:3142:ab4:fcbc:e3ff:feaa:620f,39856,2600:9000:2636:7400:8:b109:e16:e01,443,443,2598,6758,16,15,28.587
115.160.215.182,49732,148.113.9.134,443,443,90125,94120,1824,1850,13906.869
223.180.184.22,1224,167.235.179.181,443,443,1581,6774,11,11,31.712
58.145.187.214,27114,47.245.134.147,443,443,1441,1907,6,5,16.033
49.43.160.14,51827,47.107.77.211,443,443,4728,1141,8,4,29.274
59.98.145.58,41982,13.204.174.155,443,443,1460,5503,9,12,0.302
2401:4900:368b:29a7:2:1:a342:2211,48186,2a04:4e42:5a::820,443,443,2660,9504,19,18,1.821
14.97.88.194,64140,63.35.61.175,443,443,6610,2137,17,17,10.812
42.107.206.99,64378,34.149.43.113,443,443,3732,1355,9,8,3.35
157.42.216.70,46138,18.155.33.43,443,443,2338,34376,21,29,0.59
203.197.194.213,61333,34.30.52.32,5190,443,2519,9468,13,13,1.056
2401:4900:3682:c5d3:1:1:d3b4:cc6f,42994,2a02:b48:9001::9,443,443,3781,93683,39,69,10.838
14.99.131.194,24282,199.232.107.52,443,443,2072,8454,15,16,0.221
27.107.31.26,53130,52.182.143.208,443,443,20131,5790,20,18,1.855
2401:4900:2679:da5:0:50:7d45:1101,37156,2a04:4e42:31::820,443,443,1733,5200,11,12,0.542
157.34.76.24,52868,3.163.238.4,443,443,2339,29368,21,27,2.326
111.93.171.42,50944,35.71.180.65,443,443,27883,7892,25,25,72.111
180.151.69.243,59378,52.184.215.111,443,443,9677,7291,18,15,14.138
139.5.10.7,14230,148.113.9.222,443,443,10274,11871,205,211,1205.042
120.62.22.139,56054,35.190.118.8,443,443,1989,4715,20,17,26.689
59.178.51.89,37122,3.254.237.250,443,443,1549,6306,10,8,1.786
117.235.237.27,59580,98.87.76.145,443,443,1835,5619,12,10,4.248
223.239.24.213,25145,99.86.30.126,443,443,21731,1995609,320,1519,2.535
152.57.176.58,57172,54.230.27.87,443,443,1944,50373,23,42,0.37
45.119.31.92,47884,108.141.37.120,443,443,4631,9900,12,15,0.865
14.195.170.246,59554,52.98.123.242,443,443,6332,9282,13,12,0.334
49.249.110.190,50674,13.225.5.18,443,443,2461,6030,5,8,0.823
103.197.73.19,51740,43.204.119.225,443,443,2265,435,6,6,20.111
114.31.183.0,28931,35.190.118.8,443,443,1902,4862,19,18,25.4
2401:4900:b12:6559:0:62:9342:a901,55608,2600:9000:256b:a600:19:1df6:3740:93a1,443,443,32284,876849,389,696,8.567
106.195.4.143,35101,101.46.136.103,23121,443,13624,8279,18,18,3.793
103.109.144.11,48389,18.195.178.250,443,443,37402,8610,32,25,6.684
182.69.181.176,25800,13.235.137.222,443,443,2947,7000,13,18,59.99
117.96.42.163,25466,3.163.238.4,443,443,11252,421795,196,333,15.953
203.199.5.146,39800,130.211.5.208,443,443,3825,36314,26,35,16.021
117.96.43.254,6952,18.66.63.2,443,443,2620,6796,14,13,35.768
2402:3a80:41f2:81d6:1033:a0c1:6874:43ce,62202,2600:1900:40a0:6f7:8000:19::,5223,443,9445,13987,23,23,3.155
14.96.134.50,60756,3.68.128.27,443,443,1359,5076,10,10,0.983
49.249.5.34,52288,104.208.16.95,443,443,2663,5165,8,6,1.204
106.210.222.106,60440,129.227.29.60,443,443,1846,8073,11,14,30.27
106.200.179.64,6965,54.230.27.84,443,443,4794,152422,75,116,0.897
223.239.26.90,49222,13.235.198.147,443,443,2293,5239,16,17,22.819
27.107.3.146,41752,13.227.180.4,443,443,35361,21458,65,58,28.501
49.249.103.234,45819,35.190.118.8,443,443,1393,3997,13,7,6.776
192.140.155.128,65331,18.138.20.62,443,443,7297,8983,28,34,92.932
103.177.236.170,19866,51.105.71.137,443,443,471947,14888,336,180,12.76
223.186.122.220,26246,18.161.216.14,443,443,2723,34684,35,32,0.936
2401:4900:2652:5c8a:4c35:c1ff:fe66:3bd0,52214,2a04:4e42:31::820,443,443,2884,10149,17,21,1.197
103.59.73.174,52477,129.227.29.115,443,443,3382,8482,16,14,30.412
14.96.209.218,6238,52.123.226.76,443,443,2369,50971,16,39,0.542
157.10.248.75,56361,129.227.29.116,443,443,17708,5527,22,16,23.94
223.185.201.126,23551,47.79.65.156,443,443,30677,9262,42,25,2.365
106.194.27.244,18218,99.86.30.127,443,443,3444,55624,49,47,4.982
103.109.144.15,13637,20.50.201.201,443,443,3658,7968,14,12,2.653
106.210.223.130,64588,108.159.28.71,443,443,5002,96048,79,78,3.28
14.96.155.126,49677,52.110.15.165,443,443,13562,9560,19,16,1.352
115.160.215.254,57222,52.54.135.14,443,443,3404,1131,9,8,1.063
27.59.203.59,5058,129.227.29.161,443,443,1476,15102,12,16,0.319
117.239.226.201,62697,3.110.8.234,443,443,5289,1307,11,12,5.179
2401:4900:234a:b865:1:1:b33a:c8a1,57896,2600:1901:0:8956::,443,443,813,480,4,7,38.525
52.182.143.208,443,49.249.110.238,58913,443,6495,7412,3,12,1.069
27.107.69.246,2782,34.199.206.218,443,443,2314,5406,10,10,1.074
106.78.21.31,9854,35.190.118.8,443,443,1627,4625,14,14,5.121
103.15.66.226,33930,149.22.91.233,9150,443,20783,3332,34,28,17.769
106.208.69.27,64125,34.149.43.113,443,443,3584,1407,9,9,3.116
223.180.182.2,20361,54.192.142.43,443,443,2046,6960,13,14,1.281
117.192.120.87,53065,161.117.125.216,443,443,79625,25818,96,61,573.839
157.32.116.19,38584,13.32.251.114,443,443,5574,113076,90,88,3.001
103.76.232.168,50188,52.123.129.14,443,443,2280,67289,10,22,0.296
106.217.97.154,55796,99.86.182.2,443,443,3816,87752,73,71,1
103.208.68.86,18352,185.221.87.23,443,443,16845,4573,26,24,111.18
2401:4900:1cd4:45aa:59ba:d1b9:a3ac:4a20,45128,2600:1f18:42f5:7700:992e:737d:bc22:f150,443,443,8219,6480,25,21,70.03
139.5.11.247,25785,141.94.172.236,443,443,3748,8567,25,22,117.735
152.59.46.170,2965,108.157.238.21,443,443,1783,6455,15,14,21.196
157.32.128.188,37712,18.155.49.82,443,443,61547,2724361,1173,1968,23.984
14.96.129.212,31863,18.210.128.176,443,443,2694,5800,11,12,0.895
120.56.51.228,50079,148.113.17.96,6568,443,25835,24302,585,454,4817.937
117.255.184.151,55142,3.5.67.201,443,443,829,1976,6,8,5.966
45.121.2.197,13779,54.187.92.102,443,443,2156,5500,18,15,14.148
14.97.167.94,36684,52.123.130.14,443,443,6281,10146,16,17,0.492
27.107.4.4,22574,52.182.143.211,443,443,3353,7345,10,10,8.151
106.217.58.151,33146,18.155.98.61,443,443,2595,44446,30,40,1.938
103.208.68.201,47761,18.66.63.99,443,443,122086,88396,166,118,51.007
223.239.24.72,17300,3.7.118.76,443,443,4013,10386,52,51,585.59
110.224.24.177,5908,54.192.151.108,443,443,2049,29424,20,29,4.58
2401:4900:263b:9dcb:33fc:caa9:b3d7:60b3,42324,2a04:4e42:31::159,443,443,2198,2444,17,17,80.389
2402:3a80:dd:8097::de1f:fccb,36030,2600:1901:0:8956::,443,443,2428,5117,17,17,25.487
106.200.151.135,1322,146.75.91.52,443,443,130865,4321293,1846,3203,6.196
152.58.16.67,34050,108.159.28.64,443,443,3131,36015,36,34,1.665
2402:3a80:1f7:fdc1::1df7:bf7f,56260,2600:1901:0:8956::,443,443,2063,4829,13,13,0.29
103.215.240.251,53952,75.119.137.69,5986,443,2987,1628,10,5,2.048
103.109.144.15,61051,20.190.145.160,443,443,4506,8821,18,13,0.837
27.59.193.4,4279,18.155.33.95,443,443,3636,57129,48,47,1.273
114.29.232.130,62676,151.101.3.52,443,443,18821,670141,302,477,11.035
58.84.60.9,9424,52.5.160.94,443,443,1276,5574,13,17,30.773
103.210.88.32,20955,52.123.130.14,443,443,2817,10973,14,14,8.851
14.97.221.246,48624,4.153.25.230,443,443,2195,8089,13,11,3.645
2401:4900:52f4:ec37:ab3b:85db:e746:ed53,56648,2a04:4e42:31::820,443,443,2442,9510,16,18,0.945
2401:4900:5021:2236:a0a8:b2ff:fef6:790d,42400,2600:1901:0:8956::,443,443,2181,5536,12,13,1.101
115.160.208.123,57155,3.7.13.58,443,443,39460,82724,439,391,1199.91
103.8.38.126,35545,104.208.16.88,443,443,2928,7042,8,10,1.039
2409:4081:1382:b04::316:20a4,38236,2600:9000:2571:f400:2:7b17:f900:93a1,443,443,4415,41763,37,39,25.69
14.143.115.59,50337,34.120.51.214,443,443,10627,1591983,193,1108,26.987
117.206.57.58,60022,43.230.9.26,701,443,14329,2799,20,12,1.956
106.206.30.181,9597,34.8.190.96,443,443,3510,99058,41,81,1.014
106.196.77.156,43404,108.158.245.118,443,443,53390,1549568,1008,1154,8.674
27.59.160.242,15167,75.2.121.78,443,443,4992,5839,13,22,28.227
223.185.200.84,51614,129.227.29.60,443,443,1878,8034,14,15,30.786
106.210.205.84,61076,44.202.21.22,443,443,2897,5506,21,19,47.489
2405:201:c407:810a:ccd3:ee26:5ff8:635f,54624,2600:9000:264e:c00:1f:4c78:1040:93a1,443,443,3828,46172,31,42,25.684
103.120.51.72,46898,145.223.105.108,443,443,1439,4511,9,8,7.749
218.185.252.135,54455,144.24.116.30,443,443,689,14340,4,15,31.897
152.59.46.56,59200,54.230.27.26,443,443,1969,8944,13,11,0.29
223.239.24.210,5672,18.66.78.24,443,443,10856,182563,145,147,0.724
157.48.120.96,47356,18.155.49.42,443,443,3945,122954,55,94,0.995
157.35.76.168,39688,54.230.27.84,443,443,6718,3037,16,13,35.811
14.194.76.22,52443,80.225.232.95,443,443,1522,4797,8,10,0.097
117.96.43.55,14503,13.127.83.107,8883,443,2734,6453,21,16,0.781
139.5.1.57,22284,150.171.22.17,443,443,2141,25149,24,23,0.688
2401:4900:264f:77aa:0:46:a425:6801,47080,2600:1901:0:8956::,443,443,2115,5436,11,12,0.327
223.185.202.94,65334,3.163.238.4,443,443,1161,4801,11,11,36.419
203.78.214.170,13816,20.190.175.88,443,443,3186,5257,13,11,0.132
157.35.75.59,24067,13.32.251.14,443,443,36673,7624,36,34,25.416
59.95.230.93,59878,138.113.114.173,443,443,15278,1886208,354,1276,2.884
106.210.172.199,60418,13.127.236.47,443,443,10373,6108,15,15,26.473
106.206.105.82,56548,79.127.213.241,443,443,8657,150312,134,127,8.039
49.35.192.104,53294,13.32.251.27,443,443,1776,8614,13,11,0.49
42.105.138.101,32854,35.190.118.8,443,443,1187,4205,14,11,5.005
40.104.66.210,443,27.116.42.76,57983,443,891568,417265,1081,656,2418.768
106.200.150.253,11832,142.44.212.57,443,443,4488,137464,48,102,2.075
106.195.11.113,34304,54.216.217.129,443,443,1686,6854,11,11,27.099
45.127.44.125,63629,34.36.73.246,443,443,2937,4349,9,11,43.316
27.107.41.242,59372,72.153.5.137,443,443,1813,3431,12,9,1.323
223.186.58.145,9898,18.155.99.3,443,443,3506,74153,65,62,0.402
27.107.110.182,64474,3.222.124.221,443,443,4279,6045,10,11,1.687
14.98.178.154,61449,72.154.7.112,443,443,1838,3432,12,9,1.18
27.107.28.250,44722,20.231.53.73,443,443,1729,6765,10,10,7.339
2409:4081:1809:8426::167e:98a0,34202,2600:9000:2571:c800:19:14ed:c7c0:93a1,443,443,15451,232376,186,187,1.07
14.195.161.114,61228,13.107.246.48,443,443,3458,877,8,9,5.092
2406:69c0:1000::18,443,2401:4900:ca8b:e5ec:bbe4:21c:354a:ff89,54560,443,6815,2201,13,11,24.969
223.185.201.254,35988,101.133.196.109,443,443,604,1452,6,3,17.841
2401:4900:329c:2a9c::a3f:6b79,45354,2600:1901:0:8956::,443,443,2587,5635,21,21,41.926
202.2.207.52,20208,4.230.171.124,443,443,649,9489,4,9,0.29
27.107.76.102,52291,131.229.221.146,8081,443,5708,23305,24,31,11.539
103.59.72.13,60261,129.227.29.116,443,443,5342,4886,12,10,15.983
103.59.73.32,27199,129.227.29.155,443,443,1257,13738,13,12,0.197
103.163.91.113,38824,128.14.146.72,12342,443,8657,1209,14,9,17.451
117.242.120.58,42124,156.146.56.22,12342,443,7454,2388,17,14,2.024
157.38.128.111,42982,18.155.49.51,443,443,2765,38471,36,34,0.83
103.116.119.31,42956,151.101.65.44,443,443,16705,379021,293,267,0.916
93.211.189.210,64778,65.20.83.65,443,443,2724,793,7,6,22.401
106.206.61.27,10201,18.161.216.80,443,443,5722,183085,95,133,16.814
106.198.29.157,8280,34.54.122.72,443,443,2315,2972,9,9,1.726
106.200.153.78,1224,52.19.5.240,443,443,6351,6051,25,23,86.186
42.107.151.98,40300,35.190.43.134,443,443,837,156,6,3,42.214
103.208.68.147,5188,65.0.222.182,443,443,1601,4862,10,10,0.5
103.208.68.162,18330,173.233.81.203,4433,443,1546,1078,14,13,61.81
152.58.30.67,50753,20.42.65.94,443,443,55400,6786,51,31,2.42
59.183.104.208,34582,108.159.15.10,443,443,11074,20505,43,25,25.993
117.231.194.166,21290,35.190.118.8,443,443,3281,5963,26,23,32.135
14.194.132.194,7171,20.190.175.88,443,443,5032,4376,10,6,2.489
42.107.218.151,52332,35.190.43.134,443,443,1085,1672,10,6,17.846
106.196.44.111,59544,45.133.44.18,443,443,27714,1267412,432,946,1.03
14.98.154.118,60905,52.123.130.14,443,443,2753,44956,27,36,0.329
223.239.24.214,64479,98.87.76.145,443,443,3513,6189,13,13,36.31
2409:40c2:300b:9065:8000::,43416,2600:9000:2571:f000:19:1df6:3740:93a1,443,443,14856,1137462,145,909,17.155
157.50.100.253,48758,18.155.49.62,443,443,9372,220317,143,173,3.63
103.109.144.9,39338,52.112.122.48,443,443,7961,11345,24,21,41.27
106.220.119.2,10054,34.149.43.113,443,443,3724,1355,10,8,6.037
106.208.135.92,1628,43.106.5.199,443,443,13648,3597,32,15,80.202
49.43.118.220,40020,94.26.73.13,4433,443,1506,345,13,5,60.792
202.62.95.70,51660,98.82.156.107,443,443,2925,1074,7,6,7.689
14.194.133.171,28109,20.190.177.23,443,443,658,18961,7,5,0.984
14.99.102.114,65512,66.117.22.113,443,443,3357,4978,10,11,1.036
223.185.203.83,24273,72.153.5.139,443,443,1793,3431,12,9,1.55
117.96.40.180,32237,45.58.161.120,443,443,1204,3360,11,8,2.071
2402:3a80:914:e393:acea:193d:e0b7:7f1d,63237,2600:1901:1:388::,443,443,1406,3975,5,7,0.71
157.10.248.77,53600,148.251.85.93,443,443,11201,298447,185,209,13.728
8.209.71.188,443,103.155.27.182,47534,443,2642,464,6,5,18.43
2409:40f0:6415:67ab:488b:96ff:fec1:4cc5,57874,2600:9000:2572:e000:10:af61:9240:21,443,443,10236,255165,116,206,27.455
202.54.231.186,57415,34.120.59.84,443,443,54286,6146,45,21,0.712
14.195.246.146,49547,165.225.7.107,443,443,1930,257452,23,204,2.407
115.160.214.195,27631,103.249.239.178,443,443,23500,9025,49,31,33.39
2401:4900:3602:7682:2:1:7f3b:fb2,41510,2600:9000:2354:4000:19:1df6:3740:93a1,443,443,36780,860431,381,692,5.06
106.220.117.76,7337,13.232.181.102,20037,443,1228,5301,11,10,0.87
117.231.228.81,1626,18.161.246.88,443,443,2871,71297,38,61,1.924
27.59.203.140,4032,18.155.49.61,443,443,929,5467,8,11,37.966
106.215.198.210,28915,44.226.67.213,443,443,1886,5552,16,16,9.54
139.5.1.14,39619,47.130.176.97,5223,443,915,2396,9,7,0.412
139.5.1.181,14776,13.225.103.27,443,443,1786,8476,11,10,0.28
139.5.1.80,57699,54.254.117.81,5223,443,915,2396,9,7,0.398
110.235.236.56,63708,52.35.170.253,443,443,2169,4963,8,8,1.032
157.35.79.30,41610,18.155.33.85,443,443,2604,54275,27,46,0.34
2401:4900:4823:b48b:1:2:cf48:e4d8,35604,2600:9000:2572:f800:1c:d13c:df40:93a1,443,443,2997,2508,12,13,56.04
2401:4900:4aa9:3837:1:0:d48a:2b36,34926,2600:1901:0:8956::,443,443,2630,6587,19,23,27.619
59.91.177.138,65202,172.178.240.161,443,443,747,4928,7,7,0.984
180.151.69.243,60372,18.161.245.121,443,443,2359,1888,9,9,30.005
103.153.167.139,1168,52.11.244.216,443,443,28849,24093,36,32,9.737
106.206.79.167,5926,3.219.96.23,443,443,2227,1476,12,11,58.877
106.208.57.197,1699,178.128.220.161,6443,443,1977,795,10,4,1.865
2401:4900:2340:c232:c830:ad7c:9444:9964,47540,2406:69c0:1000::1b,443,443,2474,313,15,2,39.225
14.99.4.110,54762,52.24.158.114,443,443,754319,451712,11087,6508,9616.044
106.195.11.34,41794,148.78.33.7,443,443,1800,5096,20,18,6.82
106.195.12.243,41366,108.159.46.103,443,443,2144,25497,24,23,0.994
14.99.133.86,58576,52.98.123.226,443,443,28608,27591,40,43,2.875
136.226.250.109,22643,34.149.129.171,443,443,1823,7841,22,22,270.917
45.119.31.119,49642,72.153.5.130,443,443,1326,3790,12,12,2.028
45.119.31.96,17074,108.158.245.124,443,443,2017,32337,21,29,0.185
59.91.40.45,39030,13.126.219.140,443,443,1917,4786,13,10,0.41
106.221.61.0,12612,129.227.29.207,443,443,8528,2592,14,13,31.912
27.107.3.50,61399,52.123.226.2,443,443,1969,99024,18,77,12.025
103.120.63.243,64401,35.168.255.211,443,443,2381,5311,19,15,68.405
182.156.141.14,35620,129.227.29.106,443,443,2748,8881,13,15,30.113
103.121.153.60,37670,43.153.248.140,443,443,1783,4144,9,10,0.432
27.107.60.114,42180,52.123.128.14,443,443,2367,9454,15,15,0.107
152.57.101.188,39082,18.155.33.95,443,443,374931,79258,315,326,17.695
2401:4900:594d:32de:b49a:82fa:c45d:f535,40614,2600:1901:0:8956::,443,443,2433,5213,16,18,25.774
111.93.115.108,38560,35.163.192.149,443,443,23309,8032,26,18,1.277
223.188.249.1,43424,18.164.217.91,443,443,1471,8683,13,11,0.379
157.20.14.69,50104,34.206.20.30,443,443,3052,5604,11,11,1.358
2401:4900:1c55:787:e88b:2c2b:4f4c:9ab,45312,2001:41d0:701:1000::d30,8443,443,446803,27650379,6105,19283,40.887
103.199.207.47,27372,148.113.9.156,443,443,57418,69750,1364,1370,10881.467
106.208.90.214,14735,91.192.81.245,443,443,3845,1767,15,4,68.219
103.113.141.49,50714,148.113.8.114,443,443,5738,7405,76,106,591.404
112.79.197.62,32368,34.149.43.113,443,443,7259,1484,20,7,30.021
115.114.140.209,64123,52.111.252.7,443,443,1163,9021,12,10,0.143
202.149.219.126,44432,13.204.174.155,443,443,1476,5402,9,10,0.069
106.196.68.54,48151,13.205.20.78,443,443,2622,9054,22,22,0.375
59.183.187.189,59072,156.146.56.24,12342,443,6553,3286,16,13,6.825
103.208.68.41,58140,54.192.142.7,443,443,119377,217823,147,204,1.003
106.206.71.53,4975,52.84.205.84,443,443,3234,85507,45,68,0.875
202.75.192.195,55773,20.170.10.10,443,443,2479,7787,15,13,1.154
140.248.104.104,26175,185.31.17.195,4443,443,2458,6367,13,11,0.787
152.58.59.22,28953,3.163.238.4,443,443,13346,1239033,207,947,23.301
139.5.1.53,43188,129.227.29.192,443,443,2807,16448,23,23,6.301
103.109.144.8,15221,52.178.17.235,443,443,18467,5977,21,14,4.365
157.50.101.63,34626,18.155.49.40,443,443,5165,1739,11,8,14.71
111.93.153.10,64935,3.162.103.17,443,443,32646,2433462,657,1656,17.961
14.98.134.226,19200,88.198.27.62,443,443,570,1309,5,3,0.336
157.48.166.193,47644,18.155.33.51,443,443,1866,2894,12,11,2.543
106.194.30.13,5626,35.154.211.128,443,443,2125,4782,12,10,0.652
2401:4900:22e7:d41f:1:0:543b:2664,46390,2600:1901:0:8956::,443,443,2743,5387,22,20,33.184
103.191.204.18,46274,52.220.3.113,5229,443,1379,5868,12,9,0.255
